"l_ridge_mse_log1" "l_lasso_mse_log1" "l_elasticnet_mse_log1" "l_rf_mse_log1"
"18" 8.44014266745269e-05 8.27028748055339e-05 8.25801413072815e-05 9.16899849157289e-05
"19" 1.31364854976213e-06 1.29524317997914e-06 1.30435609733137e-06 1.37173495751411e-06
"20" 0.00146865601229171 0.00148152140870352 0.00147742085777185 0.00161086952770762
"21" 0.0181607682308496 0.0175231863047901 0.0175332819619091 0.0195488470129416
"22" 0.0184384020819814 0.0159375908505469 0.0166325789444594 0.0162610443654598
"23" 0.000144237655061839 0.000141445147646174 0.000142873735371911 0.00014452268699468
"24" 0.0060310103428642 0.0060373376191942 0.0060413854870021 0.00661036006754318
"25" 0.0432863488289818 0.0452617088903367 0.0448219632534207 0.0435942393316917
"26" 6.21004519157466e-05 6.26470220959157e-05 6.2402451030935e-05 7.28573982986665e-05
"27" 1.08478945289197e-05 1.09421703766378e-05 1.09017509595944e-05 1.27973288967642e-05
"28" 0.0492212789907323 0.0491111236643156 0.0503728295447792 0.0476142746612134
"29" 0.000490143770872003 0.000496743137852962 0.000495950568941163 0.000511887449534146
"30" 0.0360611279003151 0.0368788392826873 0.0368575407404974 0.0356320514334712
"31" 3.11956023642646e-06 3.15915810089305e-06 3.1501446320272e-06 3.46475384986453e-06
"32" 2.7440390182305e-06 2.76392295181949e-06 2.76891510598644e-06 3.11018873746099e-06
"33" 0.000963132806979005 0.000953024439622112 0.000960693341409186 0.00100817503402853
"34" 0.00045558823873553 0.000449114756719971 0.000455968333742423 0.000465440575351749
"35" 9.79648046125633e-05 9.96560397802719e-05 9.96798519908824e-05 0.000102875192358582
"36" 0.00452865229816108 0.00457082459181854 0.00456293604710366 0.00454806971049663
"37" 0.000223003385089794 0.0002222098519992 0.000222800065289996 0.000228332817513239
"38" 8.50742720871451e-05 8.38098286910631e-05 8.51899104453175e-05 8.67869505452232e-05
"39" 0.000946164132574918 0.000943097553588556 0.000924290226321984 0.000976135553509218
"40" 4.16174293583601e-06 3.91437543396904e-06 3.92909399938459e-06 4.68957908233893e-06
"41" 3.39523500939552e-05 3.40263458009376e-05 3.42301394332121e-05 3.43168306674644e-05
"42" 7.63638500509414e-07 7.7368485841673e-07 7.6745332474756e-07 8.24024476525624e-07
"43" 9.26538054717184e-06 9.23404330009529e-06 9.24734596816165e-06 1.0394474789286e-05
"44" 6.06648205957415e-05 6.10847219348033e-05 6.07204012927094e-05 6.37093907799928e-05
"45" 0.000102829848763864 0.000102807942622222 0.000102130695685187 0.000120842298407291
"46" 0.0147253903249123 0.0147867535235775 0.014715910234051 0.0161759612267741
"47" 6.64399827842721e-07 6.68935925806945e-07 6.70075554311282e-07 7.36420125758055e-07
"48" 0.000167507211543815 0.000161156423644915 0.000157534137330636 0.000161922933783591
"49" 0.0722008192662955 0.0684893744852526 0.0686483016427213 0.0704671431691647
"50" 1.39274807562885e-06 1.38822385215627e-06 1.38641827791727e-06 1.53106613051438e-06
"51" 0.0014707357466157 0.00129840698469566 0.00130235933053239 0.0013326636962409
"52" 9.08482419351622e-07 9.19348747222408e-07 9.17567946857077e-07 1.03446466822626e-06
"53" 0.000342668027946895 0.000339626949533988 0.00034091332267668 0.000337385521135651
"54" 0.000113011891519831 0.000111641231589479 0.000111449654834104 0.000120831511911447
"55" 0.000206609110957693 0.000206203256881712 0.000206039474949371 0.000221398627419475
"56" 2.84829826785913e-05 2.8375807735443e-05 2.83719528468257e-05 3.00417924309794e-05
"57" 0.00014304101736111 0.000145919642172661 0.000143855372525643 0.000152465819705948
"58" 0.00102973082862602 0.00102432271235098 0.00102628342324351 0.00108066315173606
"59" 0.000502448792251282 0.000511982776525856 0.0005102301225838 0.000567660312897367
"60" 9.56810842200454e-06 1.04549913184791e-05 1.03187959632907e-05 1.05804026614787e-05
"61" 0.0211094404858764 0.0216484459206281 0.0215376680112621 0.0225308620673316
"62" 0.00240143841424889 0.00241275718568751 0.00235619316350214 0.00242600335779107
"63" 7.60437430622862e-07 7.58985341507399e-07 7.68320851759588e-07 8.30014330593089e-07
"64" 0.00109149399344727 0.00110154593359674 0.00109848215406511 0.0011298656062144
"65" 7.05056993272364e-06 7.00035128858714e-06 7.13662907731158e-06 7.08141701553985e-06
"66" 0.0238719510065508 0.0236312232316517 0.0236133649913673 0.0246135063492116
"67" 0.000751935588230733 0.000732832488946218 0.00073454283213229 0.000817566297387778
"68" 0.0023936245270599 0.00242975982394943 0.0024166349915352 0.00265367352076943
