"l_ridge_mse_log1" "l_lasso_mse_log1" "l_elasticnet_mse_log1" "l_rf_mse_log1"
"19" 1.32940039807771e-06 1.313938385649e-06 1.31317954916697e-06 1.33908038652917e-06
"20" 0.00147796713500944 0.0014543116872107 0.0014608081166776 0.00154205157945519
"21" 0.0181343021501729 0.0175771171393697 0.0176330527897408 0.019020642110355
"22" 0.0217627191183596 0.0155109351996271 0.0160141337439149 0.0153646687532128
"23" 0.000212572529850476 0.000142261939566984 0.000142201704707263 0.000149065617496137
"24" 0.00628693522845112 0.00597958354973383 0.00600940837291257 0.0060787102020327
"25" 0.0434522041177878 0.0446943351281468 0.0447230170353629 0.0440331922561651
"26" 6.16522397352033e-05 6.18733578694844e-05 6.24806550019007e-05 6.7390461621854e-05
"27" 1.08845167122844e-05 1.10231632310101e-05 1.090358058491e-05 1.22951140448884e-05
"28" 0.0492816194289792 0.0490933699445304 0.0491551258245931 0.0479917101623523
"29" 0.000517606560017144 0.000507800640229051 0.000507139276347409 0.000512453199145376
"30" 0.0363219991485747 0.0357190718422232 0.0359354092252139 0.0355310657620068
"31" 3.17740510075851e-06 3.16902049229063e-06 3.17923559460193e-06 3.43299590259871e-06
"32" 2.75046203407618e-06 2.73896972209102e-06 2.74447453312131e-06 2.89686936224696e-06
"33" 0.00109504466144009 0.000912972525909394 0.000936823192965695 0.000956154774245723
"34" 0.000428417538584814 0.000442447807026649 0.000442742418067801 0.000462100412747502
"35" 0.000102712131127149 0.000102302373195505 0.000102241547286582 0.000100203304258975
"36" 0.0049449269839636 0.00448452493904516 0.00449557080335845 0.00437653076016083
"37" 0.00024267270694379 0.000229490144329015 0.000226698894044852 0.000223742701948497
"38" 8.40904241304284e-05 8.46504166838354e-05 8.4903806102417e-05 8.656726918058e-05
"39" 0.000964480783217898 0.000925227874764326 0.000921898367343711 0.000931927627503869
"40" 4.19010341696454e-06 3.93078103717638e-06 3.92325486690322e-06 4.61725532740633e-06
"41" 3.59088438834653e-05 3.4482382892178e-05 3.39481767159136e-05 3.48257084741138e-05
"42" 7.60357403578644e-07 7.72009308340115e-07 7.60330131787777e-07 7.89370046202183e-07
"43" 9.6122987168686e-06 9.33118743248561e-06 9.36887058184508e-06 1.00316985285979e-05
"44" 6.28675351013672e-05 6.07828756129315e-05 5.99415855037566e-05 6.27260204509835e-05
"45" 0.000109710284628649 0.000104420498004306 0.000104190513673336 0.000104413645294478
"46" 0.0143894167912295 0.0145424367822703 0.0145876641767067 0.0153085879409374
"47" 6.73998286599042e-07 6.5553201170014e-07 6.62237549641658e-07 7.04964617652266e-07
"48" 0.000177556952517624 0.000163946966039588 0.000162748004651789 0.000165965529518068
"49" 0.0720764675856489 0.0689141949284624 0.0691102676887272 0.0699501263156834
"50" 1.40701641936769e-06 1.39580420675386e-06 1.401698109643e-06 1.51062612912992e-06
"51" 0.00147939209706747 0.00130607867110221 0.00129926867550067 0.00133253167473982
"52" 9.09541276444339e-07 9.24363983449859e-07 9.08020553082698e-07 9.81834346577831e-07
"53" 0.000362184445657236 0.000329822897198786 0.000327631494356364 0.000325311887033067
"54" 0.000116020624236697 0.000111405124753119 0.000111997879888601 0.000120783973335236
"55" 0.000214092503151395 0.000207784318608744 0.000208712525740667 0.000204413702198501
"56" 2.69980209215566e-05 2.8113384865122e-05 2.82603802319686e-05 2.77815615341514e-05
"57" 0.000132110663623975 0.000136971443569774 0.000137342829074625 0.00013241782247746
"58" 0.000989969636118415 0.00102599845563781 0.00101785159199755 0.00108237044120127
"59" 0.000507580900686458 0.000504787047339803 0.000506089336321739 0.000509960310240168
"60" 9.6509198858573e-06 1.03899490003173e-05 1.04231565709576e-05 1.05327202720447e-05
"61" 0.0207942392552379 0.0213217907193167 0.0213280551511308 0.0216289917481335
"62" 0.00234311386517964 0.00242947083010691 0.00240590485273477 0.00242594023904864
"63" 7.9335877272191e-07 7.69838906062023e-07 7.75709232611865e-07 8.29036202048338e-07
"64" 0.00108534925173165 0.00107465095790541 0.00108227457597694 0.00109415276223529
"65" 7.00784567721122e-06 6.95276005865988e-06 6.88740180892979e-06 7.07476429782756e-06
"66" 0.0235481683668034 0.023745980546997 0.02386008381548 0.0244162465032295
"67" 0.000806365690785578 0.000779600606149037 0.00078480984383371 0.000789020965977765
"68" 0.00231356311543229 0.00238431385047304 0.00236744476293791 0.00249081970183128
